Issue_Description,Category,Subcategory,Assignment_group,Resolution_Notes
Data Enty & Validation Issues ,Inquiry_Help,Internal Application,Service Desk,Use FAGL_CHECK_DOCUMENT to validate entries. Define validation rules in OB28
Configuration error ,Inquiry_Help,Internal Application,Service Desk,"Audi configurations via SPRO, Use OBR2 (check documents splitting)"
System Freezers/ kernel panic,Inquiry_Help,Internal Application,Service Desk,Run first Aid in Disk utility in recovery mode. reinstall MAC OS via recovery 
Audio distortion or microphone issues ,Inquiry_Help,Internal Application,Service Desk,"Reset core audio, check system preference, sound for correct input output selections. "
USB-C port failure ,Inquiry_Help,Internal Application,Service Desk,"Clean ports gently with compressed air or soft brush, test with Apple certifies charger/ cable, reset NVRM "
MAC software Glitches ,Inquiry_Help,Internal Application,Service Desk,"Boot into safe mode, Reinstall MAC OS via recovery mode. "
Slow performance ,Inquiry_Help,Internal Application,Service Desk,"Close unused apps, upgrade to 16GB RAM"
display flickering backlight issues ,Inquiry_Help,Internal Application,Service Desk,"Update macOS, For flexgate apply may replace display for free under quality program. "
Keyboard and trackpad issues ,Inquiry_Help,Internal Application,Service Desk,"Use compressed air to clean keys, For butterfly keyboard Apple offers free repairs from purchase "
 Wi-Fi/ Bluetooth connectivity problems ,Inquiry_Help,Internal Application,Service Desk,"Delete Wi-Fi preferences, reset Bluetooth model.  "
 Battery drain  and charging issues ,Inquiry_Help,Internal Application,Service Desk,"Check battery health, Reset SMC intel and restart M1 M2"
Overheating and FAN noise ,Inquiry_Help,Internal Application,Service Desk,"Use Activity monitor to kill recourse heavy apps, Reset SMC (Intel models Shift + Control + Option + power) "
Interoperability Challenges ,Inquiry_Help,Internal Application,Service Desk,Use Microsoft.interop Libraries. 
End of life risks ,Inquiry_Help,Internal Application,Service Desk,Migrate to .NET 8 (LTS until 2026) or >NET frameworks 4.8.1 ( last supported versions)
Deployment challenges ,Inquiry_Help,Internal Application,Service Desk,"Use .NET 6+/8+ self-contained deployments (single executable, ~50 MB)"
Legacy technology limitations ,Inquiry_Help,Internal Application,Service Desk,Replace WEB FPORMS WITH bLAZZOR?asp.net core MVC. 
Dependency Hell,Inquiry_Help,Internal Application,Service Desk,Use binding Redirects in app.config. Migrate to .
Unable to connect to VPN network ,Network,VPN,Service Desk,"Disabled  Antivirus program or Windows firewall you may have for temporary purpose. it worked alright , 
, verify Date and time should be correct and in Sync. 


"
Security Vulnerabilities,Inquiry_Help,Internal Application,Service Desk,"Apply windows updates and patches, Migrate to .NEt 6+/8+ (supports TLS 1.3, modern encryption)."
Performance Bottlenecks ,Inquiry_Help,Internal Application,Service Desk,Profile with dotmemory/ANTS profiler. Refactor code for using blocks or migrate to .NET 6+
L Key on the keyboard not responding (Laptop),Hardware,Keyboard,Hardware,"Laptop Keyboard replaced , Tested and all working as expected . no other fault "
Wifi shows no internet,Network,Wireless,,"Issue: Wifi shows no internet


Troubleshooting :
--> restarted the computer
--> tried with different network
--> tried forgetting the network

Affected Users: <50% (one or two users)
--> user was confused about workstation id so he provided device name and service tag
--> windows 10 , laptop user

Used right user name and password,
Able to connect to wifi"
Issue with connecting to Wireless network ,Inquiry_Help,Email,,"Helped customer Reinstall the wireless drivers and restarted the laptop , issue is now resolved and no further assistance required, closing the ticket after confirmation from the customer "
Browser Issue,Inquiry_Help,,,"Issue: Browser Not Loading Pages

Trouble shooting:

>>Clear the browser’s cache and cookies
>>Closed and relaunched the browser

User tried accessing 2-3 browser pages and was good to go

Issue resolved"
Versioning and compatibility issues,Inquiry_Help,Internal Application,Service Desk,Use <supportedRuntime> tags in config files or migrate to .NetCore/6+/8+(cross-platform and side-by-side friendly)
MFA setup issue,Software,,MFA Exempted User Group,"Issue:  MFA setup issue

Resolution:

OTHER INFORMATION REQUIRED -
Application:
Error message if any:
Workstation ID / IP Address / Pingable:
T: Drive Mapping: Re-mapped

- TROUBLESHOOTING -

Provided TAP pass
Guided user to set up MFA from aka.ms/mysecurityinfo

Issue resolved
"
VDI - Slowness ,Inquiry_Help,,Creator Studio Users,"Issue: VDI - Slowness 

Resolution:
- TROUBLESHOOTING -
Has the user recently rebooted: Yes
Does the application work on another PC for user: Yes
Is the issue occurring during a certain time frame: since a long
Has the user received this issue before: NA
If so, how frequently is it occurring: yes
When did the application last work for the user: NA

Closure Reason: as connected with the user and troubleshooted the following,
cleared temp files and policy updated both inside and outside VDI, the issue is now resolved, hence closing the ticket with user confirmation
"
Workstation Issue - system   issue,Inquiry_Help,,Help Desk,"Workstation Issue - system   issue-1 user- Remote

- DESCRIPTION -user system not performing correctly. Seems some battery low issue.

- OTHER INFORMATION REQUIRED -
Location: Remote
Error Message (if applicable):user not able to login to the system. Battery completely dead state even though user plugin to the charger
Include Screenshot (if applicable)na
Number of users impacted:1


- TROUBLESHOOTING -
Cashier Posts - [] Number of cashier posts working / [] Number of cashier posts not working
Make - [] HP [] Dell
Type - [] Desktop [Y] Laptop
[Y] Confirm the user has checked power supply
[Y] Confirm the user can logon to Windows
[Y] Confirm user has rebooted
[] Confirm user has checked LAN cable and functional link lights
[Y] Confirm there is power to the monitor
[Y] Confirm user has checked connections


User Confirmation

>issue resolved when user changed the cable"
Restore the documents,Software,,,"Issue:

Resolution:

Trouble shooting

System File Integrity:
Run DISM (Deployment Image Servicing and Management):
This tool can help repair corrupted system files by using Windows Update as a source.
Run SFC (System File Checker):
Use the command SFC /scan now in an elevated command prompt to scan and repair corrupted system files.
Check Disk:
Use the check disk command in PowerShell or Command Prompt to analyze a disk for errors and correct them.

Check File Recovery Settings:
Ensure that File History or other file recovery features are enabled and properly configured.

Use Windows File Recovery:
This tool can help recover files that have been accidentally deleted or corrupted.

Open and Repair:
In Office applications (Word, Excel, PowerPoint), try the ""Open and Repair"" function for corrupted files.

Restore from Backup:
If you have a backup, restore your files from it.

Restored files,
issue resolved."
Multiple Issue's - Drive sync - system slowness/freezing,Software,,,"Multiple Issue's - Drive sync - system slowness - freezing- 1 user - remote

User facing an issue with cisco anyconnect
user facing slowness issue
drives are not synced

Issue/Error message: internet blocked
Best contact method: Call

Issue description: User facing an issue with cisco anyconnect,user facing slowness issue ,drives are not synced
Troubleshooting steps: all drives remapped, temp cleared, policy updated, connected with RAS- SBL
Screenshot if any: NA

Closure Reason: as connected with user and troubleshooted the following,
all drives remapped, temp cleared, policy updated, connected with RAS- SBL
the issue is now resolved, hence closing the ticket with user confirmation
"
Restore missing Files,Software,Operating System,,"Issue: Restore missing Files

Resolution:
System File Integrity:
Run DISM (Deployment Image Servicing and Management):
This tool can help repair corrupted system files by using Windows Update as a source.

Run SFC (System File Checker):
Use the command SFC /scan now in an elevated command prompt to scan and repair corrupted system files.

Check Disk:
Use the check disk command in PowerShell or Command Prompt to analyze a disk for errors and correct them.

Issue resolved"
USB Issue,Hardware,Disk,,"Issue: USB Issue

Resolution:

1. Restart your computer:
Still the same issue.
2. Try a different USB port:
Change the USB port, and it same.

3. Use a different USB cable:
A faulty cable can also be the cause, so try connecting your device with a different USB cable.
4. Test on another computer:
connect the USB device to a different computer to determine if the issue is with the device itself or with your computer's USB ports. 


5. Check Device Manager:
• Open Device Manager (search for it in the Start menu). 
• Expand ""Universal Serial Bus controllers"". 
• Look for any yellow exclamation marks next to USB device entries. These indicate driver problems. 
• You can try uninstalling and reinstalling the drivers for the problematic devices by right-clicking and selecting ""Uninstall"". 
• Reconnecting the USB device after uninstalling should prompt Windows to automatically reinstall the drivers. 


6. Update USB drivers:
• If you suspect outdated or corrupted drivers, you can try updating them. 
• In Device Manager, find the problematic device, right-click on it, and select ""Update driver"". 
• Choose ""Search automatically for drivers"". 
• If Windows have no driver, download the specific driver

Issue resolved"
Windows and VDI -  Slowness or Freezing issue,Hardware,Mouse,Help Desk,"Windows and VDI -  Slowness or Freezing issue  - 1 user - Remote

User facing Slowness or Freezing issue with the VDI and Outside VDI in the machine
blank screen error while launching VDI

- OTHER INFORMATION REQUIRED -
Application: Slowness or Freezing issue
Error Message (if applicable):  Blank screen 
Include Screenshot (if applicable)
Number of users impacted:

- TROUBLESHOOTING -
Has the user recently rebooted: Yes
Does the application work on another PC for user: Yes
Is the issue occurring during a certain time frame: since a long
Has the user received this issue before: NA
If so, how frequently is it occurring: yes
When did the application last work for the user: NA

Closure Reason: as connected with the user and troubleshooted the following,
cleared temp files and policy updated both inside and outside VDI, the issue is now resolved, hence closing the ticket with user confirmation"
MFAsetup ,Inquiry_Help,,,"'- DESCRIPTION -

MFA setup

- OTHER INFORMATION REQUIRED -
Application: 
Error message if any: 
Workstation ID / IP Address / Pingable:
T: Drive Mapping: Re-mapped

- TROUBLESHOOTING -

Provided TAP pass
Guided user to set up MFA from aka.ms/mysecurityinfo"
Blue Screen error,Inquiry_Help,,,"Issue: Blue Screen

Steps Performed:

>>Guided user to perform a hard reboot
Press and hold Laptop power button for 10secs and trying to power on the laptop
Issue persisted

>>Advised user to remove all peripheral devices and try booting up the laptop

User was good to login"
Email Issue - unable to send/receive the emails,Inquiry_Help,,,"Email Issue - unable to send/receive the emails - 1 user - remote

- DESCRIPTION -

- OTHER INFORMATION REQUIRED -
Error message if any: unable to send/receive the emails 
Workstation ID / IP Address / Pingable:
(Use webmail if not dedicated workstation)

- Mailbox Details -
O365 / Email Server:
Email Address:  kevin.duffy@northridgeuk.com
Mailbox Size (for on-prem):

- TROUBLESHOOTING -
Is anyone else affected: No
Was the users profile recreated: Yes
Was the workstation rebooted: Yes
Check if issue occurs in Webmail: Yes, it works
Webmail link used: yes
Any further troubleshooting done: Cleared the ost files and sent a test mail"
Workstation Issue - Not Able To Access Anything,Network,,,"
- TROUBLESHOOTING -
Requested User to Hard Reboot the PC
User Hard Rebooted the PC 
Still facing the same error
Took user on remote
Resolved the issue for the user
User Acknowledged and agreed for ticket closure
"
Lack of Cross platform support,Inquiry_Help,Internal Application,Service Desk," Migrate to .NET 6/8 (cross-platform, lightweight, Abd container friendly)."
Wifi showing no internet ,Inquiry_Help,,,"wifi showing no internet - 1 user - remot

- DESCRIPTION -

Issue :
--> issues with laptop
--> not connecting to internet
--> connecting to wifi , showing no internet
--> wifi getting connected to all the personal devices , just not connecting on the BOI laptop
--> user was able to access internet earlier this morning
Troubleshooting :
--> restarted the computer
--> tried with different network
--> tried forgetting the network


Affected Users: <50% (one or two users)

--> user was confused about workstation id so he provided device name and service tag
--> windows 10 , laptop user"
Internet Issue - not able to access internet due to firewall block,Inquiry_Help,,,"Internet Issue - not able to access internet due to firewall block- 1 user- remote

- DESCRIPTION -

- OTHER INFORMATION REQUIRED -
Error Message: not able to access internet due to firewall block
Weblink: 
Web Browser:
Workstation ID / IP Address / Pingable: 

- USER AVAILABILITY -
Preferred Contact Number: +353 12345343
Days Available: NA
Time Available: NA

- TROUBLESHOOTING -
Has the user been able to access the Internet previously:  Yes
Is the ""Internet Basic"" group added to the user profile: Yes 
Can other users access the Website:  yes"
Browser Not Loading Pages,Inquiry_Help,,,"
Steps Performed:

>>Clear the browser’s cache and cookies
>>Closed and relaunched the browser

User tried accessing  2-3 browser pages and was good to go"
USB unable to deduct devices,Hardware,Disk,,"Issue: USB unable to deduct devices

Troubleshooting Steps:
1. Restart your computer:
Still the same issue.
2. Try a different USB port:
Change the USB port, still the same

3. Use a different USB cable:
A faulty cable can also be the cause, so try connecting your device with a different USB cable.
4. Test on another computer:
connect the USB device to a different computer to determine if the issue is with the device itself or with your computer's USB ports.

Worked fine, informed user to contact manufacturer.
Issue resolved.
"
Blue Screen of Death,Inquiry_Help,,,"Steps Performed:

>>Guided user to perform a hard reboot
Press and hold Laptop power button for 10secs and trying to power on the laptop
Issue persisted

>>Advised user to remove all peripheral devices and try booting up the laptop

User was good to login"
USB not working,Hardware,,,"Issue: USB not working

Resolution:
1. Restart your computer:
Still the same issue.

2. Try a different USB port:
Change the USB port, and it works. 

Educated user to contact manufacturer for UBS port issue.
"
Unable to Open Files Outside VDI ,Inquiry_Help,,,"VDI Issues - Unable to Open Files Outside VDI - 1 or 2

- DESCRIPTION - On Drive Sync Issue

- OTHER INFORMATION REQUIRED -
Error message if any: Unable to Open Files Outside VDI
Workstation ID / IP Address / Pingable:

- USER AVAILABILITY -
Preferred Contact Number: 1233333222
Days Available: Mon-Fri
Time Available: 07:15 AM - 3 : 15 PM (Irish Time)

- TROUBLESHOOTING -
1) Has the user successfully logged in to their VDI desktop? (If yes, go to question 3, else go to question 2) - Yes
2) Has the user managed to connect to the Bank's Citrix Login screen? Yes
3) How many attempts were needed to login? 1
4) Post login, is the VDI running slow or disconnecting often? (If disconnecting often, does it reconnect to their VDI Desktop automatically or not)?
5) If slow, which application is slow?
6) If slow, in response to what exact action, is it becoming slow?
7) Has the user rebooted? Yes
Additional Troubleshooting:

Took remote session of the suer
Turned on the OneDrive Sync outside the VDI and inside the VDI and the issue was resolved
User agreed for the ticket closure"
USB Not working,Inquiry_Help,,,"Issue:  USB Not working

Troubleshooting Steps:
1. Restart your computer:
Still the same issue.
2. Try a different USB port:
Change the USB port, same issue

3. Use a different USB cable:
A faulty cable can also be the cause, so try connecting your device with a different USB cable.
4. Test on another computer:
connect the USB device to a different computer to determine if the issue is with the device itself or with your computer's USB ports.

Check Device Manager:
• Open Device Manager (search for it in the Start menu).
• Expand ""Universal Serial Bus controllers"".
• Look for any yellow exclamation marks next to USB device entries. These indicate driver problems.
• You can try uninstalling and reinstalling the drivers for the problematic devices by right-clicking and selecting ""Uninstall"".
• Reconnecting the USB device after uninstalling should prompt Windows to automatically reinstall the drivers.

It worked
issue resolved
"
Map a network printer,Inquiry_Help,,,"Steps performed:
>>Open Printers & Scanners
>>Click Add a printer
>>The printer used wanted to map was not listed, hence chose The printer that I want isn't listed.
>>Selected Add a local printer or network printer with manual settings
>>Chose port and Enter printer's IP
>>Installed Printer driver following on-screen instructions 
>>Printer installation was complete
>>User tried to test print a test page 

User good to go"
MFA - Need to set up MFA to new phone,Inquiry_Help,,,"User called in for MFA set-up into his new phone
>> MFA set-up has done
>> User confirmed that he is able to use MFA"
Screen flickers,Inquiry_Help,,,"Steps Performed:

>>Updated  display driver
>>Installed pending Windows upgrades
>>Restarted Laptop

User confirmed issue is resolved"
Laptop-Fan is too loud,Inquiry_Help,,,"Steps Performed:
>>Checked CPU usage
Since the usage was normal, suspected a faulty fan issue

>>Redirected user to onsite technician"
Laptop Shut downs and restarts again and again,Hardware,Disk,Recommendation Admin,
VDI -Account Unlock ,Inquiry_Help,,Help Desk,"Closure confirmation via (Teams/call/chat/email): Call

Issue Resolved (Yes/No/NA) yes

Closure Reason: the line manager approval has been received, and the account has been unlocked, the issue is now resolved, Hence closing the ticket with user confirmation"
System Reboots often,Hardware,CPU,,"Issue: System Reboots often

Resolution:
Checked for Overheating:
Inspect Cooling System:
Ensured fans are working properly, dust and debris are removed from vents and components, and thermal paste is in good condition. 
Monitor Temperatures:
Used monitoring software to track CPU, GPU, and other component temperatures. 

Reviewed Event Viewer Logs:
Access Logs:
Opened the Event Viewer and filtered critical and error events around the time of the shutdowns.
Analyze Logs:
Looked for error codes and descriptions that might indicate the cause of the shutdowns.

Updated Drivers and BIOS:
Update Drivers:
Device Manager was update or roll back drivers, especially for graphics cards and network adapters.
Update BIOS:
Checked the manufacturer's website for the latest BIOS version and install it if necessary.

Checked for Hardware Issues:
Power Supply: Ensured the power supply is functioning correctly and provides enough power for your components. 
RAM: Test RAM for errors using tools like MemTest86. 
Motherboard: Visually inspected the motherboard for any signs of damage or blown capacitors. 

informed to contact manufacturer and replace Mother Board
Issue resolved"
Laptop battery drains quickly,Inquiry_Help,,,"Steps Performed:

>>Check the screen brightness 
Go to Settings > System > Display 
Adjust the screen brightness to the desired level.

>>Removed unwanted peripheral devices 

>>Ended un-necessary programs/applications 

Guided user to monitor for battery performance after the troubleshooting was performed."
printer issue- user unable to print attachment from the printer ,Inquiry_Help,,,"'- TROUBLESHOOTING -

Make -[] Dell
Type - [] Desktop
remapped the printer for the user and the issue got fixed"
Computer shutting down often,Hardware,,Hardware,"Issue:  Computer shutting down often

Resolution:
Checked for Overheating:
Inspect Cooling System:
Ensured fans are working properly, dust and debris are removed from vents and components, and thermal paste is in good condition. 
Monitor Temperatures:
Used monitoring software to track CPU, GPU, and other component temperatures.

Reviewed Event Viewer Logs:
Access Logs:
Opened the Event Viewer and filtered critical and error events around the time of the shutdowns.
Analyze Logs:
Looked for error codes and descriptions that might indicate the cause of the shutdowns.

Updated Drivers and BIOS:
Update Drivers:
Device Manager was update or roll back drivers, especially for graphics cards and network adapters.
Update BIOS:
Checked the manufacturer's website for the latest BIOS version and installed. 

Issue Resolved
"
Assistance with connecting a bluetooth device-Mouse,Inquiry_Help,,,"Steps Performed:

>>Go to Start >>Settings >> Devices   

>>Navigate to Bluetooth tab   and Click on Add Bluetooth or other devices   

>>Chose Bluetooth from 'Add a device' window  

>>Chose the device you want to pair and click on it  

The bluetooth device-Mouse was paired

User good to go"
Computer is Over heating,Software,Operating System,Hardware,"Issue:  Computer is Over heating

Resolution:
Checked for Overheating:
Inspect Cooling System:
Ensured fans are working properly, dust and debris are removed from vents and components, and thermal paste is in good condition. 
Monitor Temperatures:
Used monitoring software to track CPU, GPU, and other component temperatures. 

Reviewed Event Viewer Logs:
Access Logs:
Opened the Event Viewer and filtered critical and error events around the time of the shutdowns.
Analyze Logs:
Looked for error codes and descriptions that might indicate the cause of the shutdowns. 
Restarted computer

Issue resolved

"
Teams - Mic issue,Software,,Help Desk,Closure Reason: As per the user confirmation over the work notes in the ticket by mentioning Issue has been resolved automatically. Hence closing the ticket.
VDI -Teams - unable to locate the application,Inquiry_Help,,,"VDI -Teams - unable to locate the application
user unable to locate and launch Teams application

Phone number: 0894918229
Issue/Error message: Unable to launch the application
Best contact method: Call and Teams
Available time: 9-5 Irish
Issue description: user unable to locate and launch Teams application

Troubleshooting steps: web teams working fine, Manual Teams installation completed from Web
Screenshot if any: NA

Closure Reason: as connected with the user, web teams working fine, Manual Teams installation from the Web, the issue is now resolved, hence closing the ticket with user confirmation"
Audio drivers are missing,Inquiry_Help,,,"Steps Performed:

>>Updated Drivers
?Expand Sound, video and game controllers Under Device Manager
Right Click and Choose ?Update driver and then click Search automatically for updated driver software

Issue persisted

>>Reinstalled the drivers
Expand Sound, video and game controllers Under Device Manager
Right Click and choose ?Uninstall device, select the?Delete the driver software for this device?check box, and then select?Uninstall. 
After this, advised user to restart device to reinstall drivers automatically

After restart, user checked and confirmed Audio works fine
 Closing the ticket"
Laptop is running slow,Inquiry_Help,,,"Steps Performed:

>>Restarted Laptop
User was still unable to access multiple apps

>>Cleared temp files

>>Ran Disk Cleanup 

>>Installed pending Windows upgrades

User checked and confirmed the Laptop is running fine."
Outlook Working Offline Error,Inquiry_Help,,Help Desk,"Steps performed:

>> Ensured user is connected to Network.

>> On Send/Receive tab, Disabled Work Offline
Issue persisted

>>Sign out and Sign-in to Outlook
File->Account->SignOut->Close Outlook and Sign In

User was now able to see the Emails loading
User confirmed resolution provided and ticket closure"
Received Spam Emails,Inquiry_Help,,Help Desk,"Steps Performed:

>>Advised user not to click on any links
>>Assisted user to report the Phishing attempt from Outlook Ribbon

Outlook>>Report-> Report Phishing"
Excel crashes,Inquiry_Help,,Help Desk,"Steps Performed:

>> Force closed Excel from Task Manager 

>>Restarted Laptop and relaunched Excel
 Issue persists

>>Updated Excel to a recent version
File > Account > Update Options > Update Now

Closed and relaunched Excel
User was able to access excel without any issues."
Email Issue - Unable to send the emails,Software,Email,Help Desk,"TROUBLESHOOTING -
Is anyone else affected: No
Was the users profile recreated:
Was the workstation rebooted:
Check if issue occurs in Webmail:
Webmail link used:
Any further troubleshooting done: Cleared some temp files and prefetch from the system

If NDR issue (Determine and clarify if)
NDR for Internal Mail only / NDR for External Mail only / NDR for Internal and External mail:

Closure confirmation via (Teams/call/chat/email): Call
Issue Resolved (Yes/No/NA) Yes
Closure Reason: Removed some space from system "
Unable to connect to Wifi,Inquiry_Help,,Help Desk,"Steps Performed:
>>Check Device Settings
Ensured Wi-Fi is turned On and Airplane is Off

>>Advised user to restart Modem and Laptop
User was still facing the issue

>>Guided to user ""Forget"" the network and try reconnecting. 
User was able to connect back to Wi-Fi 

User checked a few websites to confirm connectivity.
User was able to access all the sites and was good to go"
Outlook - Shared mailbox missing,Software,Email,," TROUBLESHOOTING -
Took a remote session
Re-added shared mailbox
was able to see shared mailbox
Resolving this ticket"
Internet Connectivity Issue,Inquiry_Help,Internal Application,Network,"Issue: Internet Connectivity Issue

Resolution:
Basic Checks:
Restart your modem and router: This can often resolve temporary glitches and improve performance. 
Assess the bandwidth: Use a bandwidth check tool to see if your connection is consistently slower than usual. 
Check for Wi-Fi signal strength: Ensured the device is close to the router and that the signal isn't being obstructed by thick walls or electronic devices. 
Use wired connections when possible: Tried Ethernet connections which generally more reliable and faster than Wi-Fi. 

Troubleshooting Steps:
Check for outages: If the problem is widespread, it could be an area outage. 
Scanned for malware: Malware can drain bandwidth and slow down your connection. 
Update firmware: Outdated firmware can cause performance issues and slow speeds. 
Contact your ISP: If the issue persists, your ISP can help diagnose and resolve problems on their end. 

Reduce background apps and processes: Close unnecessary programs and browser tabs to free up bandwidth. 
Cleared browser cache and history: This can improve browsing speed and reduce lag. 
Checked for signal interference: Wireless interference can affect Wi-Fi performance, so try changing your Wi-Fi channel or repositioning your router. 
Manage network congestion: If you have many devices connected, consider limiting usage during peak times or optimizing your network configuration. 


Advanced Troubleshooting:
Consider upgrading your router or ISP plan:
Older routers or low-bandwidth plans may not be sufficient for your needs. 
Use a VPN:
If you're experiencing throttling or network congestion, a VPN can help bypass these issues. 
Check your network settings:
Incorrect settings can cause connectivity problems, so reviewed your configuration. 
"
WIFI connectivity issue,Inquiry_Help,Internal Application,Help Desk,"Issue: WIFI connectivity issue

Resolution:
Basic Checks:
Restart your modem and router: This can often resolve temporary glitches and improve performance. 
Assess the bandwidth: Use a bandwidth check tool to see if your connection is consistently slower than usual. 
Check for Wi-Fi signal strength: Ensured the device is close to the router and that the signal isn't being obstructed by thick walls or electronic devices. 
Use wired connections when possible: Tried Ethernet connections which generally more reliable and faster than Wi-Fi. 

Troubleshooting Steps:
Check for outages: If the problem is widespread, it could be an area outage. 
Scanned for malware: Malware can drain bandwidth and slow down your connection. 
Update firmware: Outdated firmware can cause performance issues and slow speeds. 
Contact your ISP: If the issue persists, your ISP can help diagnose and resolve problems on their end. 

Reduce background apps and processes: Close unnecessary programs and browser tabs to free up bandwidth. 
Cleared browser cache and history: This can improve browsing speed and reduce lag. 
Checked for signal interference: Wireless interference can affect Wi-Fi performance, so try changing your Wi-Fi channel or repositioning your router. 
Manage network congestion: If you have many devices connected, consider limiting usage during peak times or optimizing your network configuration. 
"
Internet is Very Slow,Inquiry_Help,Internal Application,Network,"issue: Internet is Very Slow

Resolution:
Basic Checks:
Restart your modem and router: This can often resolve temporary glitches and improve performance. 
Assess the bandwidth: Use a bandwidth check tool to see if your connection is consistently slower than usual. 
Check for Wi-Fi signal strength: Ensured the device is close to the router and that the signal isn't being obstructed by thick walls or electronic devices. 
Use wired connections when possible: Tried Ethernet connections which generally more reliable and faster than Wi-Fi. 

Troubleshooting Steps:
Check for outages: If the problem is widespread, it could be an area outage. 
Scanned for malware: Malware can drain bandwidth and slow down your connection. 
Update firmware: Outdated firmware can cause performance issues and slow speeds. 
Contact your ISP: If the issue persists, your ISP can help diagnose and resolve problems on their end. 
"
Shared mail box- Unable to access the shared mail box-1user-remote,Software,Email,Help Desk,"User called in, and addressed that she is unable to access the sharedmail box in outlook
-TROUBLESHOOTS-
>>Outlook--> file--> account settings--> account settings--> double click on mail--> more settings--> advanced--> add--> apply,ok)
>> Issue resolved"
All systems in Network are slow ,Network,IP Address,,"Issue:  All systems in Network are slow 

Resolution:
1. Basic Checks and Restart:
Restart the computer: A simple restart can clear temporary files and refresh system resources, often resolving minor slowdowns.
Clean up your desktop: Too many shortcuts and files on your desktop can slow things down. 

2. Software and Drivers:
Update Windows and drivers: Ensure your operating system and device drivers are up to date, as outdated software can lead to performance issues. 
Check for software updates: Make sure all installed programs are updated, as updates often include performance improvements and bug fixes. 
Disabled or removed browser extensions: Excessive extensions can consume resources and slow down your browser. 

3. Disk Space and Memory:
Free up disk space:
Low disk space can significantly impact performance. Used Disk Cleanup or removed unnecessary files and programs. 
Manage startup programs:
Limit the number of programs that start automatically with Windows to reduce the load on the system. 
Check RAM usage:
If running many programs, ensure we have enough RAM to prevent slowdowns. 
"
Computer is too slow,Hardware,CPU,,"Issue:  Computer is too slow

Resolution:
1. Basic Checks and Restart:
Restart the computer: A simple restart can clear temporary files and refresh system resources, often resolving minor slowdowns.
Clean up your desktop: Too many shortcuts and files on your desktop can slow things down. 

2. Software and Drivers:
Update Windows and drivers: Ensure your operating system and device drivers are up to date, as outdated software can lead to performance issues. 
Check for software updates: Make sure all installed programs are updated, as updates often include performance improvements and bug fixes. 
Disabled or removed browser extensions: Excessive extensions can consume resources and slow down your browser. 

3. Disk Space and Memory:
Free up disk space:
Low disk space can significantly impact performance. Used Disk Cleanup or removed unnecessary files and programs. 
Manage startup programs:
Limit the number of programs that start automatically with Windows to reduce the load on the system. 
Check RAM usage:
If running many programs, ensure we have enough RAM to prevent slowdowns. 

4. Task Manager and Background Processes:
Use Task Manager: Identify any programs consuming excessive resources, such as CPU or memory, and end them if necessary.
Monitor background processes: Close any unnecessary background processes that may be hogging resources. 

5. Malware and Viruses:
Scan for malware: Use of antivirus software to scan for and remove any infections.
Checked for suspicious processes: Be wary of processes that consume a lot of resources and seem unfamiliar. 
"
Desktop is slow in opening any applications,Hardware,CPU,,"Issue:  Desktop is slow in opening any applications

Resolution:

1. Basic Checks and Restart:
Restart the computer: A simple restart can clear temporary files and refresh system resources, often resolving minor slowdowns.
Clean up your desktop: Too many shortcuts and files on your desktop can slow things down. 

2. Software and Drivers:
Update Windows and drivers: Ensure your operating system and device drivers are up to date, as outdated software can lead to performance issues. 
Check for software updates: Make sure all installed programs are updated, as updates often include performance improvements and bug fixes. 
Disabled or removed browser extensions: Excessive extensions can consume resources and slow down your browser. 

3. Disk Space and Memory:
Free up disk space:
Low disk space can significantly impact performance. Used Disk Cleanup or removed unnecessary files and programs. 
Manage startup programs:
Limit the number of programs that start automatically with Windows to reduce the load on the system. 
Check RAM usage:
If running many programs, ensure we have enough RAM to prevent slowdowns. 

4. Task Manager and Background Processes:
Use Task Manager: Identify any programs consuming excessive resources, such as CPU or memory, and end them if necessary.
Monitor background processes: Close any unnecessary background processes that may be hogging resources. 
"
Laptop Performance is too slow,Software,Operating System,Network,"Issue: Laptop Performance is too slow

Resolution:
1. Basic Checks and Restart:
Restart the computer: A simple restart can clear temporary files and refresh system resources, often resolving minor slowdowns.
Clean up your desktop: Too many shortcuts and files on your desktop can slow things down. 

2. Software and Drivers:
Update Windows and drivers: Ensure your operating system and device drivers are up to date, as outdated software can lead to performance issues. 
Check for software updates: Make sure all installed programs are updated, as updates often include performance improvements and bug fixes. 
Disabled or removed browser extensions: Excessive extensions can consume resources and slow down your browser. 

3. Disk Space and Memory:
Free up disk space:
Low disk space can significantly impact performance. Used Disk Cleanup or removed unnecessary files and programs. 
Manage startup programs:
Limit the number of programs that start automatically with Windows to reduce the load on the system. 
Check RAM usage:
If running many programs, ensure we have enough RAM to prevent slowdowns. 
"
